"subid","goal","true_state","utterance"
"65","social","1","not_amazing"
"65","informative","0","yes_bad"
"65","informative","3","yes_amazing"
"65","informative","2","yes_good"
"65","informative","1","not_terrible"
"65","both","0","not_terrible"
"65","both","3","yes_amazing"
"65","both","2","yes_good"
"65","both","1","not_bad"
"69","both","0","not_terrible"
"69","both","2","yes_good"
"69","both","3","yes_amazing"
"69","both","1","not_terrible"
"69","social","0","yes_good"
"69","social","2","yes_amazing"
"69","social","3","yes_amazing"
"69","social","1","yes_good"
"69","informative","0","yes_terrible"
"69","informative","2","yes_good"
"69","informative","3","yes_amazing"
"69","informative","1","not_terrible"
"72","informative","2","yes_good"
"72","informative","3","yes_amazing"
"72","informative","1","not_amazing"
"72","informative","0","yes_terrible"
"72","social","2","yes_good"
"72","social","3","yes_amazing"
"72","social","1","yes_good"
"72","social","0","not_terrible"
"72","both","2","yes_good"
"72","both","3","yes_amazing"
"72","both","1","not_amazing"
"72","both","0","not_amazing"
"74","social","2","yes_amazing"
"74","social","0","yes_good"
"74","social","1","yes_good"
"74","social","3","yes_amazing"
"74","informative","2","yes_amazing"
"74","informative","0","yes_terrible"
"74","informative","1","yes_bad"
"74","informative","3","yes_amazing"
"74","both","2","yes_good"
"74","both","0","yes_bad"
"74","both","1","yes_good"
"74","both","3","yes_amazing"
"75","informative","3","yes_amazing"
"75","informative","0","yes_terrible"
"75","informative","1","yes_bad"
"75","informative","2","yes_good"
"75","both","3","yes_amazing"
"75","both","0","not_bad"
"75","both","1","not_bad"
"75","both","2","yes_good"
"75","social","3","yes_amazing"
"75","social","0","not_bad"
"75","social","1","yes_good"
"75","social","2","yes_amazing"
"76","informative","3","yes_amazing"
"76","informative","2","yes_good"
"76","informative","0","yes_bad"
"76","informative","1","yes_bad"
"76","both","3","yes_amazing"
"76","both","2","yes_good"
"76","both","0","not_terrible"
"76","both","1","not_bad"
"76","social","3","yes_amazing"
"76","social","2","yes_amazing"
"76","social","0","yes_good"
"76","social","1","yes_good"
"84","informative","0","yes_bad"
"84","informative","1","not_terrible"
"84","informative","2","yes_good"
"84","informative","3","yes_amazing"
"84","both","0","not_good"
"84","both","1","not_terrible"
"84","both","2","yes_good"
"84","both","3","yes_amazing"
"84","social","0","yes_amazing"
"84","social","1","yes_amazing"
"84","social","2","yes_amazing"
"84","social","3","yes_amazing"
"89","informative","1","not_good"
"89","informative","3","yes_amazing"
"89","informative","0","not_bad"
"89","informative","2","yes_good"
"89","both","1","yes_good"
"89","both","3","yes_amazing"
"89","both","0","not_bad"
"89","both","2","yes_good"
"89","social","1","yes_amazing"
"89","social","3","yes_amazing"
"89","social","0","not_bad"
"89","social","2","yes_amazing"
"102","both","2","yes_good"
"102","both","1","not_bad"
"102","both","3","yes_amazing"
"102","both","0","not_terrible"
"102","social","2","yes_amazing"
"102","social","1","yes_amazing"
"102","social","3","yes_amazing"
"102","social","0","yes_good"
"102","informative","2","yes_good"
"102","informative","1","yes_bad"
"102","informative","3","yes_amazing"
"102","informative","0","yes_terrible"
"105","both","2","yes_good"
"105","both","3","not_bad"
"105","both","0","not_amazing"
"105","both","1","not_terrible"
"105","social","2","yes_amazing"
"105","social","3","yes_good"
"105","social","0","yes_good"
